stride_num,foot,ic_time,to_time,next_ic_time,gct_ms,flight_ms,step_time_ms
1,right,0,1290,1440,1290,150,1440
1,left,1320,1410,1850,90,440,530
2,right,1440,1820,2010,380,190,570
2,left,1850,1980,2410,130,430,560
3,right,2010,2380,2580,370,200,570
3,left,2410,2550,2970,140,420,560
4,right,2580,2940,3130,360,190,550
4,left,2970,3100,3510,130,410,540
5,right,3130,3470,3671,340,201,541
5,left,3510,3640,3890,130,250,380
6,right,3671,3860,4830,189,970,1159
6,left,3890,4800,4970,910,170,1080
7,right,4830,4940,6440,110,1500,1610
7,left,4970,6410,6640,1440,230,1670
8,right,6440,6610,6990,170,380,550
8,left,6640,6960,7090,320,130,450
9,right,6990,7060,8660,70,1600,1670
9,left,7090,8630,8740,1540,110,1650
10,right,8660,8710,9680,50,970,1020
10,left,8740,9650,9890,910,240,1150
11,right,9680,9860,10230,180,370,550
11,left,9890,10200,10420,310,220,530
12,right,10230,10390,10790,160,400,560
12,left,10420,10760,11060,340,300,640
13,right,10790,11030,11370,240,340,580
13,left,11060,11340,11600,280,260,540
14,right,11370,11570,11940,200,370,570
14,left,11600,11910,12230,310,320,630
15,right,11940,12200,12490,260,290,550
15,left,12230,12460,12830,230,370,600
16,right,12490,12800,13060,310,260,570
16,left,12830,13030,13400,200,370,570
17,right,13060,13370,13640,310,270,580
17,left,13400,13610,13980,210,370,580
18,right,13640,13950,14220,310,270,580
18,left,13980,14190,14550,210,360,570
19,right,14220,14520,14800,300,280,580
19,left,14550,14770,15120,220,350,570
20,right,14800,15090,15380,290,290,580
20,left,15120,15350,15710,230,360,590
21,right,15380,15680,16020,300,340,640
21,left,15710,15990,16270,280,280,560
22,right,16020,16240,16570,220,330,550
22,left,16270,16540,16960,270,420,690
